,OverallQual,GrLivArea,GarageCars,GarageArea,TotalBsmtSF,1stFlrSF,FullBath,TotRmsAbvGrd,YearBuilt,SalePrice
0,7,7.444248649496705,2,548,6.752270376141742,856,2,8,2003,12.247694320220994
1,6,7.140453043101158,2,460,7.140453043101158,1262,2,6,1976,12.109010932687042
2,7,7.487733761436444,2,608,6.824373670043086,920,2,6,2001,12.31716669303576
3,7,7.448333860897476,3,642,6.628041376179533,961,1,7,1915,11.84939770159144
4,8,7.6953031349635665,3,836,7.0431599159883405,1145,2,9,2000,12.429216196844383
5,5,7.216709486709457,2,480,6.679599185844383,796,1,5,1993,11.870599909242044
6,8,7.434847875211999,2,636,7.430114138561801,1694,2,7,2004,12.634603026569334
7,7,7.644919344958857,2,484,7.009408932708637,1107,2,7,1973,12.206072645530174
8,7,7.480992162869525,2,468,6.858565034791365,1022,2,8,1931,11.77452020265869
9,5,6.981934677156389,1,205,6.898714534329988,1077,1,5,1939,11.678439903447801
10,5,6.946975992135418,1,384,6.946975992135418,1040,1,5,1965,11.771436160121729
11,9,7.751045117971802,3,736,7.069023426578259,1182,3,11,2005,12.751299696013497
12,5,6.815639990074331,1,352,6.815639990074331,912,1,4,1962,11.877568578558138
13,7,7.309212365692763,3,840,7.309212365692763,1494,2,7,2006,12.540757571577291
14,6,7.133295954896068,1,352,7.133295954896068,1253,1,5,1960,11.964001084330445
15,7,6.74993119378857,2,576,6.723832440821209,854,1,5,1929,11.790557201568507
16,6,6.911747300251674,2,480,6.911747300251674,1004,1,5,1970,11.911701584927597
17,4,7.16703787691222,2,516,0.0,1296,2,6,1967,11.407564949312402
18,5,7.01571242048723,2,576,7.01571242048723,1114,1,6,2004,11.976659481202368
19,5,7.199678345691172,1,294,6.9363427358340495,1339,1,6,1958,11.842229212112828
20,8,7.773173680482536,3,853,7.05444965813294,1158,3,9,2005,12.692503112461443
21,7,7.010311867307229,1,280,6.456769655572163,1108,1,6,1930,11.845102777308561
22,8,7.492760300922379,2,534,7.482681828154651,1795,2,7,2002,12.345834587905333
23,5,6.966024187106113,2,572,6.946975992135418,1060,1,6,1976,11.77452020265869
24,5,6.966024187106113,1,270,6.966024187106113,1060,1,6,1968,11.944707881395766
25,8,7.3777589082278725,3,890,7.356279876550748,1600,2,7,2007,12.454103912352162
26,5,6.802394763324311,2,576,6.802394763324311,900,1,5,1951,11.811547477460344
27,8,7.440733707389261,3,772,7.440733707389261,1704,2,7,2007,12.631340380934517
28,5,7.3777589082278725,1,319,7.302496423727326,1600,1,6,1957,12.24288661865289
29,4,6.253828811575473,1,240,6.253828811575473,520,1,4,1927,11.134589024250317
30,4,7.183111701743281,1,250,6.47543271670409,649,1,6,1920,10.596634733096073
31,5,7.113142108707088,1,271,7.113142108707088,1228,1,6,1966,11.914047823644255
32,8,7.1180162044653335,2,484,7.1180162044653335,1234,2,7,2007,12.100156419938624
33,5,7.438383530044307,2,447,7.242797922793756,1700,1,6,1959,12.016726473799254
34,9,7.353081920515432,2,556,7.353081920515432,1561,2,6,2005,12.533576212168626
35,8,7.804659297056102,3,691,7.018401799069201,1132,3,9,2004,12.641096555879882
36,5,7.00033446027523,2,672,7.00033446027523,1097,1,6,1994,11.884489021402711
37,5,7.167809184316444,2,498,7.167809184316444,1297,1,5,1954,11.938193200374572
38,5,6.963189985870238,1,246,6.963189985870238,1057,1,5,1953,11.59910316121128
39,4,7.049254841255837,0,0,0.0,1152,2,6,1955,11.314474526246391
40,6,7.188412736496954,2,440,6.992096427415888,1324,2,6,1965,11.982929094215963
41,5,7.191429330036379,1,308,7.2078598714324755,1328,1,5,1959,12.043553716032399
42,5,6.784457062637643,2,504,6.733401891837359,884,1,5,1983,11.877568578558138
43,5,6.843749949006225,1,308,6.843749949006225,938,1,5,1975,11.777210959615614
44,5,7.047517221357296,1,300,7.047517221357296,1150,1,6,1959,11.856515169360305
45,9,7.468513271496337,2,576,7.468513271496337,1752,2,6,2005,12.675763725937609
46,7,7.67275789664251,2,670,7.2682230211595655,1518,1,6,2003,12.387085012375499
47,8,7.412160334945205,3,826,7.412160334945205,1656,2,7,2006,12.428015476267865
48,4,7.280697195384741,0,0,6.601230118728877,736,2,8,1920,11.635143097694478
49,5,6.86171134048073,1,386,6.86171134048073,955,1,6,1966,11.751942365440728
50,6,7.293017679772782,2,388,6.677083461247136,794,2,6,1997,12.083905011555967
51,6,7.069874128458572,2,528,6.704414354964107,816,1,6,1934,11.648330101976432
52,5,6.704414354964107,2,516,6.704414354964107,816,1,5,1963,11.608235644774552
53,9,7.518607216815252,3,894,7.518607216815252,1842,0,5,1981,12.86099861326992
54,5,7.215239978730097,2,572,5.950642552587727,1360,1,6,1955,11.77528972943772
55,6,7.261927092702751,2,576,7.261927092702751,1425,2,7,1964,12.103486056755072
56,8,7.461065514354283,2,480,6.877296071497429,983,2,7,1999,12.058152515453552
57,7,7.450079569807499,2,565,6.756932389247553,860,2,7,2004,12.188417710291453
58,10,7.987864096085687,3,641,7.251344983372214,1426,3,10,2006,12.991753427493052
59,5,6.659293919683638,1,352,6.659293919683638,780,1,4,1972,11.73526869611367
60,6,7.05444965813294,2,576,7.05444965813294,1158,1,5,2004,11.970350312009105
61,5,7.01301578963963,1,288,6.272877006546167,581,1,6,1920,11.522875795823397
62,8,7.222566018822171,2,484,7.222566018822171,1370,2,6,2006,12.218495165528731
63,7,7.444248649496705,2,480,6.3561076606958915,902,2,9,1921,11.84939770159144
64,7,7.617759576608505,2,645,6.963189985870238,1057,2,8,1997,12.299107511497363
65,8,7.813187267521416,3,852,7.04141166379481,1143,2,9,2004,12.666657052859417
